iter	MAE	RMSE
0	572.3603019	1266.386861
1	529.6958382	1169.458918
2	492.8061406	1081.788181
3	457.2889549	999.6230606
4	425.3557461	925.3250739
5	397.2779685	857.4964582
6	369.9822597	796.1926651
7	343.5433907	739.0669696
8	321.300426	686.6491569
9	300.6081869	638.3644814
10	282.4114007	594.8375695
11	264.1940289	553.6714172
12	247.6683551	516.571889
13	233.6832792	482.1110191
14	219.7134099	451.0584383
15	206.7643105	423.0079075
16	194.9587996	396.8263523
17	183.6655536	373.5771058
18	173.9646413	352.1897403
19	164.5631356	332.8073903
20	156.6358448	315.2848238
21	148.7510289	299.224073
22	141.8761931	284.9689089
23	135.4800206	271.3429939
24	129.0455462	259.5819468
25	123.2082301	248.347417
26	117.967606	238.316601
27	113.3427542	229.1128815
28	108.9489113	220.5979871
29	104.4113611	212.5127169
30	100.930617	205.8239591
31	97.73411882	199.8517194
32	94.65715272	193.8386817
33	91.72247059	188.8121926
34	89.91725159	184.3034475
35	87.73068488	180.1602144
36	85.61018734	176.1085251
37	83.45886885	172.3622695
38	81.53807382	169.1962515
39	79.7839886	165.8794994
40	78.15049625	162.7684316
41	76.56600107	159.8713593
42	75.17528553	157.4886795
43	73.83670289	155.030407
44	73.00190028	153.2293023
45	71.91947791	151.384922
46	71.16063586	149.8944012
47	70.40073329	148.3039972
48	69.33505026	146.3431941
49	68.19821104	144.7955438
50	67.57158775	143.3003887
51	66.54626738	141.9176269
52	66.10184406	140.7568962
53	65.43694672	139.712099
54	64.50029712	138.3388424
55	63.60683243	137.2767404
56	62.70126634	136.1910712
57	61.93880024	135.227787
58	61.41642149	134.3842275
59	60.82770706	133.5053799
60	60.17307165	132.2245238
61	59.53738567	131.3345094
62	59.19686571	130.2759243
63	58.37134036	129.0407416
64	57.71800713	127.9366223
65	57.51445487	127.2469768
66	57.26648033	126.4408434
67	56.98465167	125.7630283
68	56.46190316	124.9492016
69	56.33100404	124.4347977
70	56.11407791	123.6961455
71	56.00222175	123.233954
72	55.50329563	122.4251509
73	55.2690086	121.5593814
74	54.93716945	120.913642
75	54.70524862	120.1036909
76	54.45891357	119.5668052
77	54.36235053	119.1832118
78	53.94073269	118.1675559
79	53.69260928	117.1644964
80	53.62949309	116.9081232
81	53.33480528	116.2354611
82	52.96417263	115.6534255
83	52.82460965	115.1977225
84	52.52608857	114.3951553
85	52.24873814	113.596934
86	52.07536512	113.139117
87	51.95346918	112.7292884
88	51.87562932	112.3658865
89	51.63326795	111.8974359
90	51.51114762	111.4852217
91	51.343089	111.0960359
92	51.16762591	110.6702031
93	50.97059155	110.0869343
94	50.81749768	109.5257267
95	50.65312995	109.0769239
96	50.54083326	108.6288088
97	50.42413101	108.1496107
98	50.3236383	107.7538983
99	50.19256809	107.4439865
100	50.00653108	106.9019677
101	49.89905047	106.4918708
102	49.61810908	106.0127936
103	49.30147133	105.6051117
104	49.15157151	105.1321024
105	48.99804375	104.736741
106	48.90264491	104.3928721
107	48.7152269	103.8740481
108	48.5698158	103.5137537
109	48.46625802	103.1353884
110	48.38888015	102.8440259
111	48.18010116	102.5009025
112	47.95155781	102.2090339
113	47.84183873	101.811943
114	47.77528836	101.5570311
115	47.63912592	101.3020928
116	47.49977966	101.0579244
117	47.39736177	100.7315006
118	47.14948329	100.1123579
119	47.02145238	99.54179425
120	46.85578316	99.19530431
121	46.76039424	98.77469289
122	46.64027618	98.42414986
123	46.5551121	98.12892029
124	46.43893687	97.79366182
125	46.27241905	97.46442163
126	46.09575504	96.89010813
127	45.99986914	96.54608006
128	45.78769306	96.1553273
129	45.70924548	95.89949053
130	45.59420924	95.60209089
131	45.46368655	95.09883734
132	45.33523958	94.74832062
133	45.19988591	94.33553357
134	45.11421687	94.08799936
135	44.95907635	93.6819877
136	44.88624025	93.38726706
137	44.80493299	93.08523587
138	44.71614825	92.74713022
139	44.65695179	92.50001693
140	44.51075003	92.09445781
141	44.39028634	91.90411611
142	44.29601011	91.72178419
143	44.23701529	91.45419677
144	44.17754267	91.2375825
145	44.07510178	90.89093438
146	43.84485522	90.63137493
147	43.7752756	90.36251027
148	43.65711004	90.07010888
149	43.59208526	89.89460921
150	43.50407618	89.58826099
151	43.33242067	89.28571501
152	43.18459799	89.08414453
153	43.10638681	88.76807727
154	43.05530679	88.55041765
155	42.97322227	88.43595786
156	42.92642004	88.25150201
157	42.83667802	87.96012369
158	42.76161246	87.67078817
159	42.59944841	87.22157137
160	42.38511909	87.00949887
161	42.33350551	86.83991223
162	42.26746281	86.56116821
163	42.16862534	86.2652237
164	42.12416061	86.09237548
165	41.99379336	85.95093717
166	41.85187158	85.49587342
167	41.79516885	85.29630657
168	41.69096	85.12448792
169	41.57886897	84.92895391
170	41.4852546	84.6733616
171	41.40236429	84.42833152
172	41.36592059	84.27792509
173	41.3041725	83.99949409
174	41.20422555	83.6059064
175	41.08874783	83.43791866
176	41.01402306	83.15297254
177	40.97698793	83.00195384
178	40.92434317	82.79336346
179	40.87362812	82.6609941
180	40.81875118	82.4491779
181	40.67897569	82.12475724
182	40.54448996	81.81536021
183	40.39530768	81.60021742
184	40.33992073	81.41176509
185	40.21839936	81.27977035
186	40.1122894	80.94500972
187	40.06349482	80.77987979
188	40.02928854	80.650398
189	39.97442602	80.47222858
190	39.90945726	80.295788
191	39.84656032	80.0971569
192	39.67010584	79.95399654
193	39.57482914	79.6702818
194	39.47198043	79.45948645
195	39.43410305	79.35252443
196	39.39411313	79.18414728
197	39.34309284	79.00614591
198	39.28143752	78.77799779
199	39.11649805	78.55296037
200	39.07381007	78.38621108
201	39.01812226	78.26051761
202	38.98077883	78.11390162
203	38.92618271	77.93043768
204	38.87827471	77.80384891
205	38.82531531	77.65439284
206	38.80057341	77.55966507
207	38.75986135	77.39799041
208	38.6519682	77.23139007
209	38.57330544	77.04583282
210	38.47086014	76.77370299
211	38.38778183	76.56878912
212	38.31818743	76.4225398
213	38.26637405	76.23361516
214	38.19108935	75.98226158
215	38.14943511	75.83150421
216	38.00442689	75.71535454
217	37.92358265	75.46667687
218	37.82285696	75.28912414
219	37.70544316	75.14249156
220	37.63418098	74.91041129
221	37.59235605	74.76246441
222	37.54102609	74.65031664
223	37.51310558	74.53928375
224	37.39447753	74.35051556
225	37.3256148	74.19904867
226	37.25743466	73.98958866
227	37.21433787	73.83038623
228	37.13745785	73.63524932
229	37.05550791	73.39505494
230	37.02998078	73.28140645
231	36.9800846	73.17623746
232	36.92983486	73.05570728
233	36.90107398	72.95404255
234	36.78814914	72.8382784
235	36.70702774	72.61513807
236	36.66407533	72.4877743
237	36.62785386	72.35690351
238	36.54527199	72.18635017
239	36.52561857	72.11298575
240	36.48196863	71.96034043
241	36.42663359	71.79710008
242	36.37811408	71.63973627
243	36.34491634	71.50845601
244	36.31627801	71.40428137
245	36.22408231	71.3112648
246	36.19515611	71.23167161
247	36.15225115	71.06148297
248	36.1204717	70.96218099
249	36.03164671	70.78258314
250	35.98328818	70.66304326
251	35.95269227	70.5718277
252	35.9158493	70.46487774
253	35.83838867	70.35531733
254	35.80318247	70.24158016
255	35.76516648	70.13984941
256	35.69674581	70.02171717
257	35.65136639	69.91490278
258	35.59221681	69.73042614
259	35.5313176	69.53860247
260	35.49264796	69.3982502
261	35.44503316	69.28705825
262	35.41232099	69.16968524
263	35.37981305	69.06909283
264	35.34734944	68.98681496
265	35.30372286	68.88102578
266	35.26158324	68.78273874
267	35.20450279	68.68209381
268	35.17883257	68.57659431
269	35.06592101	68.31675802
270	35.04991912	68.25669553
271	34.98725969	68.14429006
272	34.93246403	67.98394489
273	34.89126068	67.85325167
274	34.85954835	67.78141374
275	34.82696081	67.66343307
276	34.76185511	67.54803316
277	34.7050574	67.41081337
278	34.67829965	67.33097758
279	34.60962445	67.17923543
280	34.59300146	67.10974687
281	34.54294625	67.05891164
282	34.52319403	66.99004455
283	34.47608527	66.92425122
284	34.44216872	66.83010688
285	34.40908343	66.71876663
286	34.32737207	66.60298411
287	34.29856493	66.5168767
288	34.25198841	66.37552463
289	34.20387034	66.23604628
290	34.17521781	66.15827048
291	34.1474237	66.05263227
292	34.04952105	65.94829971
293	34.02104948	65.82893919
294	33.99652344	65.72757406
295	33.97375787	65.63415401
296	33.92386607	65.5240744
297	33.8548932	65.41439809
298	33.80370761	65.30095041
299	33.77426155	65.19282876
300	33.75524576	65.12593174
301	33.71513206	65.04135576
302	33.68102355	64.94209657
303	33.66164224	64.8556596
304	33.58782542	64.73690567
305	33.56938572	64.65670814
306	33.54397751	64.56253818
307	33.5161397	64.46476882
308	33.50213811	64.41799137
309	33.43777552	64.35090768
310	33.39696007	64.25329314
311	33.34590317	64.10565419
312	33.31567208	64.04459714
313	33.29817086	63.97818022
314	33.26348082	63.89690207
315	33.24365024	63.8268627
316	33.21487487	63.79038648
317	33.15936557	63.71541735
318	33.12069504	63.6049709
319	33.07523812	63.49008792
320	33.06355207	63.44433013
321	33.02514457	63.36310217
322	32.98365746	63.22195596
323	32.9662622	63.16047838
324	32.93951755	63.11044336
325	32.89864576	62.98044012
326	32.8801505	62.90692654
327	32.84402881	62.85798334
328	32.7505664	62.7490181
329	32.72890481	62.69984836
330	32.71463057	62.63679027
331	32.66637556	62.55698505
332	32.64798337	62.50658905
333	32.57808697	62.39019306
334	32.48808884	62.26248534
335	32.4646439	62.17497489
336	32.44278114	62.09708942
337	32.40715145	62.05156133
338	32.37789488	61.96515875
339	32.35785661	61.89431539
340	32.33495383	61.80740888
341	32.31721373	61.73815281
342	32.29609937	61.67364731
343	32.26944281	61.62893151
344	32.25216031	61.57860301
345	32.22885525	61.52151493
346	32.18073751	61.41912441
347	32.14279342	61.34841949
348	32.11518231	61.29443389
349	32.07706561	61.20211305
350	32.05274975	61.10777063
351	31.98338254	60.96406857
352	31.96832823	60.90705611
353	31.9412006	60.86814733
354	31.89069904	60.75708012
355	31.85008967	60.69968325
356	31.8343836	60.63984158
357	31.81307876	60.60212602
358	31.78973286	60.53366762
359	31.75214381	60.44076701
360	31.71065087	60.33848278
361	31.68488412	60.26103572
362	31.64119055	60.1696824
363	31.6268543	60.11922965
364	31.58547981	60.04704484
365	31.56667202	59.99492938
366	31.54103131	59.91301241
367	31.51180489	59.83603798
368	31.46735156	59.75135643
369	31.41737207	59.68285664
370	31.39604214	59.60779816
371	31.35044809	59.51946393
372	31.28642122	59.44473614
373	31.26658469	59.38469517
374	31.24601578	59.3306956
375	31.22949111	59.27872804
376	31.21301323	59.22964341
377	31.18689329	59.14648606
378	31.16538793	59.07340014
379	31.14706448	59.01754458
380	31.13141347	58.96252181
381	31.11261064	58.88973358
382	31.09204453	58.84839102
383	31.07245093	58.79264715
384	31.01697955	58.71609686
385	30.99880738	58.671097
386	30.94155981	58.54551655
387	30.90150074	58.46629519
388	30.80464982	58.38860264
389	30.78105515	58.31150717
390	30.7583699	58.23860512
391	30.74197802	58.17499304
392	30.72703269	58.13387477
393	30.68911584	58.04922777
394	30.65420244	57.98687075
395	30.64295853	57.93746853
396	30.62499688	57.8706851
397	30.58044846	57.78340221
398	30.53211873	57.72632342
399	30.51960614	57.67233005
400	30.48445112	57.597246
401	30.46805061	57.54095716
402	30.42508595	57.48853351
403	30.3924664	57.44338302
404	30.3715992	57.39034277
405	30.35997651	57.34162714
406	30.34518491	57.28591094
407	30.29686952	57.20097414
408	30.27497058	57.15029146
409	30.25961239	57.10547108
410	30.23929628	57.03538035
411	30.20239461	56.95794312
412	30.16139949	56.8667113
413	30.1497148	56.83087886
414	30.13648963	56.78888631
415	30.09222994	56.73680771
416	30.07159369	56.67391361
417	30.06171959	56.64020588
418	30.05147325	56.60146333
419	30.02030966	56.53131286
420	29.97088287	56.47730853
421	29.94089094	56.39703381
422	29.92170651	56.33359652
423	29.88999624	56.26107141
424	29.87498789	56.20176119
425	29.8401636	56.13093744
426	29.81801057	56.08546779
427	29.7831502	56.02770022
428	29.77096835	55.98776135
429	29.74084663	55.92821506
430	29.72636644	55.87634972
431	29.67857008	55.80867843
432	29.63439573	55.72699172
433	29.61748593	55.67815294
434	29.59185693	55.62002398
435	29.5702564	55.56357243
436	29.5574436	55.51748155
437	29.54204301	55.47012024
438	29.52704738	55.42509029
439	29.50836786	55.39144688
440	29.49286194	55.34527177
441	29.47779198	55.30656685
442	29.45926269	55.25015794
443	29.44875598	55.21288568
444	29.43929777	55.17652904
445	29.41767663	55.12256534
446	29.37777539	55.06476691
447	29.37051499	55.03724172
448	29.35295334	54.98799389
449	29.3266052	54.9352716
450	29.30703524	54.88130328
451	29.28979674	54.83282215
452	29.27970392	54.79216416
453	29.26477492	54.74723691
454	29.22806286	54.68180656
455	29.20443707	54.60988956
456	29.17772451	54.54918686
457	29.15107175	54.48494627
458	29.11976422	54.41853704
459	29.10305211	54.35952524
460	29.08384035	54.31656949
461	29.07085687	54.2727446
462	29.04969209	54.21535162
463	29.02294429	54.16625465
464	28.98018387	54.09200007
465	28.96804656	54.04575276
466	28.93817296	53.99963951
467	28.91519769	53.94507516
468	28.90402516	53.90630766
469	28.87694117	53.83630389
470	28.84356939	53.7787778
471	28.82926819	53.73226485
472	28.79671221	53.68487409
473	28.78619574	53.65215069
474	28.77968065	53.62325024
475	28.75255874	53.58293906
476	28.73780097	53.54528243
477	28.72571038	53.50540303
478	28.7122088	53.47362516
479	28.6746561	53.38363914
480	28.65317072	53.34121708
481	28.6392799	53.28890235
482	28.62389739	53.25182521
483	28.61250919	53.20788987
484	28.58058187	53.15785139
485	28.56320957	53.10221867
486	28.54257883	53.05491637
487	28.5153926	53.00298963
488	28.5022848	52.97056127
489	28.49380077	52.9425297
490	28.48011588	52.89269066
491	28.42623529	52.82585117
492	28.41189783	52.78374088
493	28.38631031	52.72068545
494	28.36581026	52.67171367
495	28.35086517	52.63396596
496	28.32845433	52.58654806
497	28.32019375	52.55340766
498	28.30511292	52.52715782
499	28.28366574	52.47557553
500	28.27138608	52.44180184
501	28.26450911	52.41126225
502	28.25649016	52.38588294
503	28.23398042	52.34260756
504	28.22488533	52.32214645
505	28.20472672	52.2762837
506	28.18363424	52.22898832
507	28.15414694	52.18053756
508	28.14243467	52.14404689
509	28.12426203	52.11199632
510	28.09940529	52.07516022
511	28.06095572	52.03315425
512	28.03825404	51.98432038
513	28.01857895	51.95392637
514	28.00120491	51.90489947
515	27.98832142	51.87389313
516	27.96413648	51.85128105
517	27.95102911	51.80279534
518	27.94209256	51.77357551
519	27.92927096	51.73458267
520	27.91272196	51.67919946
521	27.89718917	51.63787281
522	27.86131042	51.56511391
523	27.83537684	51.51304864
524	27.82119199	51.4678488
525	27.80188525	51.42802802
526	27.79254603	51.39040498
527	27.77732138	51.35220589
528	27.75300586	51.30669847
529	27.74558868	51.27854107
530	27.69247495	51.17460956
531	27.68071901	51.13543318
532	27.67220212	51.10633041
533	27.6502003	51.06641003
534	27.63722632	51.02529876
535	27.62470289	50.98679414
536	27.60872736	50.9345652
537	27.59347409	50.89662082
538	27.57389767	50.85409401
539	27.53821752	50.80834526
540	27.53009311	50.77674559
541	27.50402518	50.74557073
542	27.46377517	50.68990812
543	27.44201486	50.64308978
544	27.42465703	50.60566716
545	27.40805499	50.56878253
546	27.38888373	50.51950396
547	27.38208938	50.49879611
548	27.35359733	50.44601304
549	27.31736466	50.39713855
550	27.30911744	50.3702738
551	27.30216674	50.33321729
552	27.27886355	50.30071362
553	27.26360378	50.25621093
554	27.25161867	50.22754627
555	27.24293281	50.20020866
556	27.23566245	50.16914182
557	27.20348637	50.12973443
558	27.17998221	50.08037415
559	27.17557677	50.06291279
560	27.17006478	50.04185099
561	27.14094972	49.98558141
562	27.12969868	49.95360721
563	27.1151648	49.92404835
564	27.09191723	49.88803095
565	27.07049592	49.83628926
566	27.05942795	49.80015767
567	27.04843393	49.76371578
568	27.03919138	49.72971269
569	27.03046545	49.69552662
570	27.01919653	49.65955149
571	26.99899801	49.62448355
572	26.9923867	49.60461803
573	26.9714715	49.56627766
574	26.95974675	49.53390502
575	26.95323111	49.51025174
576	26.94539694	49.48841412
577	26.9132179	49.44005421
578	26.90682889	49.42301017
